objectid,geometry,subjectid,geometry_subject,geom_type_subject,geom_type,predicate,pid,relate,idx
"road_(53496379, 5657142535)","LINESTRING (-89.3386 43.0922, -89.3387 43.0922)","road_(5656899646, 53496379)","LINESTRING (-89.3397 43.0922, -89.3386 43.0922)",LineString,LineString,contains,5.0,101F00FF2,0
"road_(2634716954, 8997363243)","LINESTRING (-89.3554 43.1357, -89.3554 43.1355)","road_(8997363242, 2634716954)","LINESTRING (-89.3554 43.1351, -89.3554 43.1357)",LineString,LineString,contains,5.0,101F00FF2,1
poi_way/1134399612,"LINESTRING (-89.4524 43.0715, -89.4521 43.0715, -89.4524 43.0715)",poi_way/1134399613,"LINESTRING (-89.4524 43.0716, -89.4521 43.0716, -89.4521 43.0715, -89.4524 43.0715, -89.4524 43.0716)",LineString,LineString,contains,5.0,1F1FFFFF2,2
"road_(1998162788, 1998162839)","LINESTRING (-89.338 43.0659, -89.3378 43.0659)",poi_way/257174438,"LINESTRING (-89.3392 43.0637, -89.3399 43.0641, -89.3402 43.0639, -89.3405 43.0643, -89.3391 43.0659, -89.3377 43.0659, -89.3378 43.0655, -89.3385 43.0648, -89.3376 43.0645, -89.3377 43.0644, -89.3383 43.0647, -89.3392 43.0637)",LineString,LineString,contains,5.0,101FFFFF2,3
"road_(3420767254, 3590603510)","LINESTRING (-89.5175 43.0611, -89.5175 43.0607)",poi_way/287637061,"LINESTRING (-89.5168 43.0606, -89.5168 43.0616, -89.5175 43.0616, -89.5175 43.0606, -89.5168 43.0606)",LineString,LineString,contains,5.0,101FFFFF2,4
"road_(3590603502, 3210160742)","LINESTRING (-89.5174 43.0606, -89.5175 43.0606)",poi_way/287637061,"LINESTRING (-89.5168 43.0606, -89.5168 43.0616, -89.5175 43.0616, -89.5175 43.0606, -89.5168 43.0606)",LineString,LineString,contains,5.0,101FFFFF2,5
"road_(3868484435, 471252064)","LINESTRING (-89.4983 43.097, -89.4981 43.097)","road_(2771715843, 3868484436)","LINESTRING (-89.498 43.097, -89.4983 43.097)",LineString,LineString,contains,5.0,101F00FF2,6
"road_(3936979920, 3936957324)","LINESTRING (-89.4371 43.0808, -89.4371 43.0806)",poi_way/232690021,"LINESTRING (-89.4366 43.0792, -89.437 43.0804, -89.4371 43.0819, -89.4371 43.0802, -89.4366 43.0792)",LineString,LineString,contains,5.0,101FFFFF2,7
"road_(9670254706, 9327940393)","LINESTRING (-89.4998 43.0085, -89.4997 43.0085)",poi_way/323552582,"LINESTRING (-89.5032 43.0085, -89.5032 43.0091, -89.5021 43.0105, -89.5008 43.0106, -89.5003 43.0104, -89.4991 43.0103, -89.4991 43.0085, -89.5032 43.0085)",LineString,LineString,contains,5.0,101FFFFF2,8
"line_road_(3297233868, 3297233867)","LINESTRING (-89.4952 43.0675, -89.49499 43.0675, -89.4949 43.0675)",poi_way/177921886,"LINESTRING (-89.4956 43.0675, -89.4956 43.0694, -89.4949 43.0692, -89.4933 43.0694, -89.4933 43.0675, -89.4956 43.0675)",LineString,LineString,contains,5.0,101FFFFF2,9
"road_(9327940393, 9670254706)","LINESTRING (-89.4997 43.0085, -89.4998 43.0085)",poi_way/323552582,"LINESTRING (-89.5032 43.0085, -89.5032 43.0091, -89.5021 43.0105, -89.5008 43.0106, -89.5003 43.0104, -89.4991 43.0103, -89.4991 43.0085, -89.5032 43.0085)",LineString,LineString,contains,5.0,101FFFFF2,10
"road_(5474511978, 6355822626)","LINESTRING (-89.3398 43.0932, -89.3398 43.093)",poi_way/158454839,"LINESTRING (-89.3409 43.0935, -89.3409 43.0923, -89.3398 43.0922, -89.3398 43.0933, -89.3409 43.0938, -89.3409 43.0935)",LineString,LineString,contains,5.0,101FFFFF2,11
"road_(454661228, 5474023649)","LINESTRING (-89.3108 43.0482, -89.3107 43.0482)","road_(1428256967, 454661228)","LINESTRING (-89.3087 43.0482, -89.3108 43.0482)",LineString,LineString,contains,5.0,101F00FF2,12
"road_(53562592, 7842177529)","LINESTRING (-89.3476 43.1052, -89.3475 43.1052)","road_(53562592, 7842177531)","LINESTRING (-89.3476 43.1052, -89.3474 43.1052)",LineString,LineString,contains,5.0,101F00FF2,13
"road_(3297233866, 3295236002)","LINESTRING (-89.4934 43.0675, -89.4937 43.0675)",poi_way/177921886,"LINESTRING (-89.4956 43.0675, -89.4956 43.0694, -89.4949 43.0692, -89.4933 43.0694, -89.4933 43.0675, -89.4956 43.0675)",LineString,LineString,contains,5.0,101FFFFF2,14
"road_(53424245, 53424238)","LINESTRING (-89.3164 43.0895, -89.3164 43.0903)",poi_way/322871021,"LINESTRING (-89.3164 43.0886, -89.3164 43.0911, -89.3142 43.0912, -89.3134 43.0889, -89.314 43.0887, -89.3164 43.0886)",LineString,LineString,contains,5.0,101FFFFF2,15
"road_(3295593433, 5629000005)","LINESTRING (-89.326 43.0718, -89.326 43.0719)",poi_way/239588234,"LINESTRING (-89.326 43.0729, -89.326 43.0711, -89.3246 43.0711, -89.3246 43.0706, -89.3211 43.0707, -89.3211 43.073, -89.3243 43.0729, -89.3244 43.0735, -89.3253 43.0734, -89.3253 43.0729, -89.326 43.0729)",LineString,LineString,contains,5.0,101FFFFF2,16
"road_(3702207548, 53614878)","LINESTRING (-89.441 43.0818, -89.4411 43.0818)","road_(2614129376, 53614878)","LINESTRING (-89.4409 43.0818, -89.4411 43.0818)",LineString,LineString,contains,5.0,101F00FF2,17
"road_(7325731418, 7325731419)","LINESTRING (-89.5098 43.1012, -89.5095 43.1012)",poi_way/88892233,"LINESTRING (-89.5093 43.1024, -89.5094 43.1012, -89.5103 43.1012, -89.5102 43.1026, -89.5095 43.1026, -89.5093 43.1024)",LineString,LineString,contains,5.0,101FFFFF2,18
"road_(53614878, 3702207548)","LINESTRING (-89.4411 43.0818, -89.441 43.0818)","road_(53614878, 2614129376)","LINESTRING (-89.4411 43.0818, -89.4409 43.0818)",LineString,LineString,contains,5.0,101F00FF2,19
"road_(4328501578, 2559417711)","LINESTRING (-89.5083 43.0983, -89.5083 43.0982)",poi_way/177780129,"LINESTRING (-89.5066 43.0983, -89.5065 43.1008, -89.5042 43.1007, -89.504 43.1014, -89.505 43.1015, -89.505 43.1029, -89.5056 43.1034, -89.5064 43.1035, -89.5064 43.1037, -89.507 43.104, -89.5076 43.1034, -89.508 43.1024, -89.5093 43.1024, -89.5094 43.1012, -89.5087 43.1013, -89.5088 43.0998, -89.5091 43.0992, -89.5083 43.0991, -89.5083 43.0982, -89.5066 43.0983)",LineString,LineString,contains,5.0,101FFFFF2,20
"road_(53461235, 3891862900)","LINESTRING (-89.5002 43.1163, -89.5001 43.1163)","road_(3891862904, 53461235)","LINESTRING (-89.5 43.1163, -89.5002 43.1163)",LineString,LineString,contains,5.0,101F00FF2,21
"road_(1596592425, 8169344295)","LINESTRING (-89.4399 43.068, -89.4396 43.068)",poi_way/303873342,"LINESTRING (-89.4399 43.068, -89.4399 43.0694, -89.4388 43.0698, -89.4388 43.068, -89.4399 43.068)",LineString,LineString,contains,5.0,101FFFFF2,22
"road_(2343949504, 53451482)","LINESTRING (-89.5053 43.0934, -89.5052 43.0934)","road_(3397691531, 53451482)","LINESTRING (-89.5055 43.0934, -89.5052 43.0934)",LineString,LineString,contains,5.0,101F00FF2,23
"road_(8169344295, 1596592425)","LINESTRING (-89.4396 43.068, -89.4399 43.068)",poi_way/303873342,"LINESTRING (-89.4399 43.068, -89.4399 43.0694, -89.4388 43.0698, -89.4388 43.068, -89.4399 43.068)",LineString,LineString,contains,5.0,101FFFFF2,24
"road_(5717826293, 2573847767)","LINESTRING (-89.4019 43.0584, -89.402 43.0584)","road_(4248803393, 2573847767)","LINESTRING (-89.4018 43.0584, -89.402 43.0584)",LineString,LineString,contains,5.0,101F00FF2,25
"road_(1612121520, 6404899260)","LINESTRING (-89.387 43.056, -89.3878 43.056)",poi_way/148110028,"LINESTRING (-89.387 43.056, -89.3884 43.056, -89.3884 43.0552, -89.387 43.0552, -89.387 43.056)",LineString,LineString,contains,5.0,101FFFFF2,26
"road_(5656937050, 6355822626)","LINESTRING (-89.3398 43.0923, -89.3398 43.093)",poi_way/158454839,"LINESTRING (-89.3409 43.0935, -89.3409 43.0923, -89.3398 43.0922, -89.3398 43.0933, -89.3409 43.0938, -89.3409 43.0935)",LineString,LineString,contains,5.0,101FFFFF2,27
"road_(53457640, 53457639)","LINESTRING (-89.3304 43.1202, -89.3306 43.1202)",poi_way/297754318,"LINESTRING (-89.3377 43.1202, -89.3377 43.1207, -89.3372 43.1205, -89.3368 43.1216, -89.3367 43.1234, -89.3274 43.1232, -89.3274 43.1235, -89.3279 43.1238, -89.3301 43.1239, -89.3301 43.1246, -89.3253 43.1247, -89.3251 43.1211, -89.3264 43.121, -89.3279 43.1202, -89.3306 43.1202, -89.3307 43.1171, -89.3338 43.1172, -89.3342 43.117, -89.3345 43.114, -89.3381 43.114, -89.3379 43.117, -89.3377 43.1172, -89.3379 43.1173, -89.3377 43.1202)",LineString,LineString,contains,5.0,101FFFFF2,28
"road_(2951828414, 5574927974)","LINESTRING (-89.4831 43.0318, -89.4832 43.0318)","road_(452827519, 2951828414)","LINESTRING (-89.4846 43.0318, -89.4831 43.0318)",LineString,LineString,contains,5.0,101F00FF2,29
"road_(2614129376, 3702207550)","LINESTRING (-89.4409 43.0818, -89.441 43.0818)","road_(53614878, 2614129376)","LINESTRING (-89.4411 43.0818, -89.4409 43.0818)",LineString,LineString,contains,5.0,101F00FF2,30
"road_(53496379, 5657142535)","LINESTRING (-89.3386 43.0922, -89.3387 43.0922)","road_(53496379, 5656899646)","LINESTRING (-89.3386 43.0922, -89.3397 43.0922)",LineString,LineString,contains,5.0,101F00FF2,31
"road_(53614878, 3702207548)","LINESTRING (-89.4411 43.0818, -89.441 43.0818)","road_(2614129376, 53614878)","LINESTRING (-89.4409 43.0818, -89.4411 43.0818)",LineString,LineString,contains,5.0,101F00FF2,32
poi_way/682541526,"LINESTRING (-89.3953 43.0734, -89.3952 43.0733, -89.3953 43.0734)",poi_way/682541525,"LINESTRING (-89.3953 43.0734, -89.3952 43.0735, -89.3951 43.0733, -89.3952 43.0733, -89.3953 43.0734)",LineString,LineString,contains,5.0,1F1FFFFF2,33
"road_(1998162839, 1998162788)","LINESTRING (-89.3378 43.0659, -89.338 43.0659)",poi_way/257174438,"LINESTRING (-89.3392 43.0637, -89.3399 43.0641, -89.3402 43.0639, -89.3405 43.0643, -89.3391 43.0659, -89.3377 43.0659, -89.3378 43.0655, -89.3385 43.0648, -89.3376 43.0645, -89.3377 43.0644, -89.3383 43.0647, -89.3392 43.0637)",LineString,LineString,contains,5.0,101FFFFF2,34
"road_(2559417711, 4328501578)","LINESTRING (-89.5083 43.0982, -89.5083 43.0983)",poi_way/177780129,"LINESTRING (-89.5066 43.0983, -89.5065 43.1008, -89.5042 43.1007, -89.504 43.1014, -89.505 43.1015, -89.505 43.1029, -89.5056 43.1034, -89.5064 43.1035, -89.5064 43.1037, -89.507 43.104, -89.5076 43.1034, -89.508 43.1024, -89.5093 43.1024, -89.5094 43.1012, -89.5087 43.1013, -89.5088 43.0998, -89.5091 43.0992, -89.5083 43.0991, -89.5083 43.0982, -89.5066 43.0983)",LineString,LineString,contains,5.0,101FFFFF2,35
"road_(7325731419, 7325731418)","LINESTRING (-89.5095 43.1012, -89.5098 43.1012)",poi_way/88892233,"LINESTRING (-89.5093 43.1024, -89.5094 43.1012, -89.5103 43.1012, -89.5102 43.1026, -89.5095 43.1026, -89.5093 43.1024)",LineString,LineString,contains,5.0,101FFFFF2,36
"road_(3297234015, 2635547740)","LINESTRING (-89.4933 43.0683, -89.4933 43.0684)",poi_way/177921886,"LINESTRING (-89.4956 43.0675, -89.4956 43.0694, -89.4949 43.0692, -89.4933 43.0694, -89.4933 43.0675, -89.4956 43.0675)",LineString,LineString,contains,5.0,101FFFFF2,37
"road_(53606441, 8703346603)","LINESTRING (-89.4717 43.068, -89.4718 43.068)","road_(1179412753, 53606441)","LINESTRING (-89.4723 43.068, -89.4717 43.068)",LineString,LineString,contains,5.0,101F00FF2,38
"road_(3782790085, 3299351920)","LINESTRING (-89.5315 43.003, -89.5319 43.003)","road_(53312115, 53312116)","LINESTRING (-89.532 43.003, -89.5315 43.003)",LineString,LineString,contains,5.0,101F00FF2,39
