sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,claude-opus-4-8,json,road_misplacement,mixed,0,false,9761,38,1417,false,,,,
scene-0,claude-opus-4-8,json,onstreet,on-street,0,false,9729,35,1749,false,,,,
scene-0,claude-opus-4-8,json,crossing,crossing,0,true,9721,36,1919,false,,,,
scene-0,claude-opus-4-8,json,nearest,nearest,0,true,9703,37,1928,false,,,,
scene-0,claude-opus-4-8,json,blockage,line-intersection,0,false,9742,37,1936,false,,,,
scene-0,claude-opus-4-8,json,coverage_gap,coverage,0,true,9720,37,1950,false,,,,
scene-0,claude-opus-4-8,json,containment,containment,0,false,9718,38,1964,false,,,,
scene-0,claude-opus-4-8,json,topology,path,0,true,9721,49,2373,false,,,,
scene-0,claude-opus-4-8,json,nearest_offstreet,mixed,0,false,9769,34,1656,false,,,,
scene-0,claude-opus-4-8,json,enclosure,mixed,0,false,9740,51,2038,false,,,,
scene-0,claude-opus-4-8,textmap2,coverage_gap,coverage,0,true,7214,37,1930,false,,,,
scene-0,claude-opus-4-8,textmap2,onstreet,on-street,0,true,7223,35,1992,false,,,,
scene-0,claude-opus-4-8,textmap2,nearest,nearest,0,true,7197,37,2037,false,,,,
scene-0,claude-opus-4-8,textmap2,crossing,crossing,0,true,7215,36,2173,false,,,,
scene-0,claude-opus-4-8,textmap2,topology,path,0,true,7215,49,2235,false,,,,
scene-0,claude-opus-4-8,textmap2,containment,containment,0,true,7212,97,2834,false,,,,
scene-0,claude-opus-4-8,textmap2,road_misplacement,mixed,0,true,7255,43,1921,false,,,,
scene-0,claude-opus-4-8,textmap2,blockage,line-intersection,0,false,7236,66,2290,false,,,,
scene-1,claude-opus-4-8,json,crossing,crossing,0,false,12567,36,1634,false,,,,
scene-0,claude-opus-4-8,textmap2,enclosure,mixed,0,false,7234,11,2264,false,,,,
scene-0,claude-opus-4-8,textmap2,nearest_offstreet,mixed,0,false,7263,34,2259,false,,,,
scene-1,claude-opus-4-8,json,containment,containment,0,false,12564,109,2301,false,,,,
scene-1,claude-opus-4-8,json,nearest,nearest,0,true,12549,37,1642,false,,,,
scene-1,claude-opus-4-8,json,coverage_gap,coverage,0,true,12566,37,1565,false,,,,
scene-1,claude-opus-4-8,json,onstreet,on-street,0,true,12575,67,2463,false,,,,
scene-1,claude-opus-4-8,json,topology,path,0,true,12567,49,1849,false,,,,
scene-1,claude-opus-4-8,json,blockage,line-intersection,0,false,12588,37,1830,false,,,,
scene-1,claude-opus-4-8,json,enclosure,mixed,0,false,12586,51,1728,false,,,,
scene-1,claude-opus-4-8,json,road_misplacement,mixed,0,false,12607,38,1871,false,,,,
scene-1,claude-opus-4-8,textmap2,crossing,crossing,0,false,7162,36,1382,false,,,,
scene-1,claude-opus-4-8,textmap2,containment,containment,0,true,7159,91,2213,false,,,,
scene-1,claude-opus-4-8,textmap2,onstreet,on-street,0,true,7170,61,1702,false,,,,
scene-1,claude-opus-4-8,json,nearest_offstreet,mixed,0,false,12615,37,2751,false,,,,
scene-1,claude-opus-4-8,textmap2,coverage_gap,coverage,0,true,7161,37,1831,false,,,,
scene-1,claude-opus-4-8,textmap2,topology,path,0,true,7162,49,1696,false,,,,
scene-1,claude-opus-4-8,textmap2,nearest,nearest,0,true,7144,37,2366,false,,,,
scene-1,claude-opus-4-8,textmap2,blockage,line-intersection,0,false,7183,51,1945,false,,,,
