sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0-s350,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,true,6730,35,921,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,json,containment,containment,0,false,8180,35,1039,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,textmap2,topology,path,0,true,6729,45,1049,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6718,38,1073,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,false,6738,35,1090,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,json,coverage_gap,coverage,0,true,8186,35,1099,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,json,nearest,nearest,0,true,8174,38,1125,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6728,74,1197,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,json,blockage,line-intersection,0,false,8200,49,1246,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,json,enclosure,mixed,0,false,8196,49,1253,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,json,onstreet,on-street,0,false,8194,35,1299,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,json,road_misplacement,mixed,0,false,8214,35,1588,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6724,94,1681,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,json,topology,path,0,true,8185,45,1706,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,json,crossing,crossing,0,true,8184,35,1707,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,false,6758,35,756,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,false,6769,38,808,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6740,69,967,false,,,350,
scene-0-s350,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,0,false,8225,38,2082,false,,,350,
scene-0-s700,claude-haiku-4-5-20251001,json,containment,containment,0,true,11681,35,1093,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,json,blockage,line-intersection,0,false,11701,35,897,false,,,700,
scene-0-s350,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6744,54,1351,false,,,350,
scene-0-s700,claude-haiku-4-5-20251001,json,topology,path,0,true,11686,45,1035,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,json,onstreet,on-street,0,false,11695,35,1177,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,json,nearest,nearest,0,true,11675,38,1106,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,json,coverage_gap,coverage,0,false,11687,39,1155,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,json,road_misplacement,mixed,0,false,11715,35,865,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,7383,35,824,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,0,true,11726,38,851,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,json,crossing,crossing,0,true,11685,35,1660,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,true,7387,35,1016,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,7377,38,828,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,7397,35,1048,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,true,7428,38,779,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,true,7417,40,850,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,json,enclosure,mixed,0,false,11697,49,1493,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,7403,35,1060,false,,,700,
scene-0-s700,claude-haiku-4-5-20251001,textmap2,topology,path,0,false,7388,51,1154,false,,,700,
scene-0-s1400,claude-haiku-4-5-20251001,json,onstreet,on-street,0,true,15001,35,956,false,,,1400,
scene-0-s1400,claude-haiku-4-5-20251001,json,crossing,crossing,0,true,14991,35,1096,false,,,1400,
