id	type	attrs	wkt
B-0	building	use=commercial;floors=3;addr=150 West 25th Street	POLYGON((-73.9938769 40.7446285, -73.9940538 40.7447030, -73.9938825 40.7449382, -73.9937056 40.7448637, -73.9938355 40.7446853, -73.9938769 40.7446285))
B-1	building	use=residential;floors=4;addr=152 West 25th Street	POLYGON((-73.9940538 40.7447030, -73.9942294 40.7447770, -73.9940536 40.7450184, -73.9938780 40.7449444, -73.9938825 40.7449382, -73.9940538 40.7447030))
B-2	building	use=residential;floors=5;addr=138 West 25th Street	POLYGON((-73.9935532 40.7445664, -73.9938355 40.7446853, -73.9937056 40.7448637, -73.9937010 40.7448699, -73.9934187 40.7447509, -73.9935532 40.7445664))
B-3	building	use=residential;floors=6;addr=147 West 25th Street	POLYGON((-73.9936051 40.7450127, -73.9937138 40.7450585, -73.9935576 40.7452729, -73.9934489 40.7452271, -73.9936051 40.7450127))
B-4	building	use=commercial;floors=7;addr=160 West 25th Street	POLYGON((-73.9941981 40.7448273, -73.9942680 40.7448568, -73.9943035 40.7448082, -73.9944007 40.7448491, -73.9943661 40.7448967, -73.9943538 40.7448915, -73.9942625 40.7450169, -73.9941076 40.7449516, -73.9941981 40.7448273))
B-5	building	use=residential;floors=8;addr=151 West 25th Street	POLYGON((-73.9937138 40.7450585, -73.9939012 40.7451374, -73.9937522 40.7453420, -73.9937450 40.7453519, -73.9935576 40.7452729, -73.9937138 40.7450585))
B-6	building	use=residential;floors=9;addr=139 West 24th Street	POLYGON((-73.9939195 40.7443365, -73.9939682 40.7443570, -73.9939289 40.7444321, -73.9938122 40.7446553, -73.9937167 40.7446150, -73.9937189 40.7446120, -73.9939195 40.7443365))
B-7	building	use=residential;floors=10	POLYGON((-73.9933925 40.7449231, -73.9936051 40.7450127, -73.9934489 40.7452271, -73.9932363 40.7451375, -73.9932483 40.7451210, -73.9933925 40.7449231))
B-8	building	use=commercial;floors=3;addr=147 West 24th Street	POLYGON((-73.9941604 40.7444380, -73.9942370 40.7444703, -73.9941383 40.7446058, -73.9940818 40.7446833, -73.9940052 40.7446511, -73.9941604 40.7444380))
B-9	building	use=residential;floors=4;addr=145 West 24th Street	POLYGON((-73.9940794 40.7444039, -73.9941604 40.7444380, -73.9940052 40.7446511, -73.9939242 40.7446169, -73.9940794 40.7444039))
