sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,true,6787,35,974,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,false,6795,35,1034,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest,nearest,0,true,8174,38,1096,false,,,,
scene-0,claude-haiku-4-5-20251001,json,onstreet,on-street,0,false,8194,35,1126,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,topology,path,0,true,6786,45,1127,false,,,,
scene-0,claude-haiku-4-5-20251001,json,road_misplacement,mixed,0,false,8214,35,1138,false,,,,
scene-0,claude-haiku-4-5-20251001,json,blockage,line-intersection,0,false,8200,49,1145,false,,,,
scene-0,claude-haiku-4-5-20251001,json,crossing,crossing,0,true,8184,35,1195,false,,,,
scene-0,claude-haiku-4-5-20251001,json,topology,path,0,true,8185,45,1236,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,0,false,8225,38,1325,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,containment,containment,0,false,6781,88,1327,false,,,,
scene-0,claude-haiku-4-5-20251001,json,coverage_gap,coverage,0,true,8186,35,1365,false,,,,
scene-0,claude-haiku-4-5-20251001,json,containment,containment,0,false,8180,35,1537,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6775,38,1586,false,,,,
scene-0,claude-haiku-4-5-20251001,json,enclosure,mixed,0,false,8196,49,1797,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6785,58,1909,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,false,6826,38,833,false,,,,
scene-1,claude-haiku-4-5-20251001,json,crossing,crossing,0,false,10818,35,904,false,,,,
scene-1,claude-haiku-4-5-20251001,json,coverage_gap,coverage,0,true,10820,35,823,false,,,,
scene-1,claude-haiku-4-5-20251001,json,containment,containment,0,false,10814,39,935,false,,,,
scene-1,claude-haiku-4-5-20251001,json,nearest,nearest,0,true,10808,38,901,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6797,64,1086,false,,,,
scene-1,claude-haiku-4-5-20251001,json,blockage,line-intersection,0,false,10834,44,874,false,,,,
scene-1,claude-haiku-4-5-20251001,json,road_misplacement,mixed,0,false,10848,35,850,false,,,,
scene-1,claude-haiku-4-5-20251001,json,topology,path,0,true,10819,45,1019,false,,,,
scene-1,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,0,false,10859,38,863,false,,,,
scene-1,claude-haiku-4-5-20251001,json,enclosure,mixed,0,false,10830,54,934,false,,,,
scene-1,claude-haiku-4-5-20251001,json,onstreet,on-street,0,false,10828,35,1395,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6801,54,1644,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,true,6815,40,1589,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6723,66,917,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6733,35,962,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,topology,path,0,false,6724,69,996,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,false,6753,35,979,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,false,6725,44,1115,false,,,,
scene-2,claude-haiku-4-5-20251001,json,containment,containment,0,true,9460,35,909,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6719,88,1483,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6735,74,1102,false,,,,
scene-2,claude-haiku-4-5-20251001,json,onstreet,on-street,0,false,9474,35,864,false,,,,
scene-2,claude-haiku-4-5-20251001,json,nearest,nearest,0,true,9454,38,949,false,,,,
scene-2,claude-haiku-4-5-20251001,json,coverage_gap,coverage,0,false,9466,35,969,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6713,38,1765,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,true,6764,38,1661,false,,,,
scene-2,claude-haiku-4-5-20251001,json,blockage,line-intersection,0,false,9480,39,1085,false,,,,
scene-2,claude-haiku-4-5-20251001,json,road_misplacement,mixed,0,false,9494,35,994,false,,,,
scene-2,claude-haiku-4-5-20251001,json,crossing,crossing,0,false,9464,35,1681,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6730,35,1027,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6744,35,947,false,,,,
scene-2,claude-haiku-4-5-20251001,json,enclosure,mixed,0,false,9476,79,1209,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6724,38,1009,false,,,,
scene-2,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,0,false,9505,38,1171,false,,,,
scene-2,claude-haiku-4-5-20251001,json,topology,path,0,true,9465,45,1726,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6734,39,1279,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6746,64,944,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,false,6775,38,908,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,true,6764,40,1015,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,topology,path,0,true,6735,45,1455,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6739,39,2939,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6750,44,1565,false,,,,
scene-3,claude-haiku-4-5-20251001,json,crossing,crossing,0,true,9110,35,1030,false,,,,
scene-3,claude-haiku-4-5-20251001,json,coverage_gap,coverage,0,true,9112,39,901,false,,,,
scene-3,claude-haiku-4-5-20251001,json,topology,path,0,true,9111,45,910,false,,,,
scene-3,claude-haiku-4-5-20251001,json,blockage,line-intersection,0,false,9126,39,939,false,,,,
scene-3,claude-haiku-4-5-20251001,json,containment,containment,0,false,9106,35,1398,false,,,,
scene-3,claude-haiku-4-5-20251001,json,nearest,nearest,0,true,9100,38,1184,false,,,,
scene-3,claude-haiku-4-5-20251001,json,enclosure,mixed,0,false,9122,49,1008,false,,,,
scene-3,claude-haiku-4-5-20251001,json,road_misplacement,mixed,0,false,9140,35,1235,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6715,35,813,false,,,,
scene-3,claude-haiku-4-5-20251001,json,onstreet,on-street,0,true,9120,35,1608,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6701,88,1041,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6695,38,889,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,true,6707,39,825,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,topology,path,0,true,6706,45,929,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6705,42,1399,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,true,6735,40,1009,false,,,,
scene-4,claude-haiku-4-5-20251001,json,containment,containment,0,false,9643,35,860,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6717,64,1045,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6721,44,1165,false,,,,
scene-4,claude-haiku-4-5-20251001,json,onstreet,on-street,0,true,9657,35,833,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,false,6746,38,1219,false,,,,
scene-4,claude-haiku-4-5-20251001,json,nearest,nearest,0,true,9637,38,969,false,,,,
scene-4,claude-haiku-4-5-20251001,json,blockage,line-intersection,0,false,9663,39,876,false,,,,
scene-4,claude-haiku-4-5-20251001,json,road_misplacement,mixed,0,false,9677,35,937,false,,,,
scene-3,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,0,false,9151,38,2103,false,,,,
scene-4,claude-haiku-4-5-20251001,json,enclosure,mixed,0,false,9659,79,1092,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6748,35,992,false,,,,
scene-4,claude-haiku-4-5-20251001,json,coverage_gap,coverage,0,false,9649,35,1554,false,,,,
scene-4,claude-haiku-4-5-20251001,json,crossing,crossing,0,true,9647,35,1828,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6738,42,1102,false,,,,
scene-4,claude-haiku-4-5-20251001,json,topology,path,0,true,9648,45,1558,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,false,6740,35,1092,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,topology,path,0,true,6739,45,990,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6734,52,1317,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6754,44,914,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,false,6779,38,1060,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,true,6768,40,1188,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,false,6736,64,4805,false,,,,
scene-4,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,0,true,9688,38,1963,false,,,,
scene-5,claude-haiku-4-5-20251001,json,crossing,crossing,0,true,9086,35,891,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6728,38,1913,false,,,,
