sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,claude-haiku-4-5-20251001,textmap2np,nearest,nearest,0,true,6468,38,1195,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,false,6826,38,1202,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6801,54,1226,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,true,6787,35,1255,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,false,6795,35,1290,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2np,crossing,crossing,0,false,6478,66,1307,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6775,38,1319,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,true,6815,40,1384,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6785,58,1437,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2np,onstreet,on-street,0,false,6488,35,1476,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2np,coverage_gap,coverage,0,true,6480,35,1540,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6797,64,1589,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2np,containment,containment,0,false,6474,88,2035,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2np,nearest_offstreet,mixed,0,false,6519,38,831,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2np,blockage,line-intersection,0,false,6494,54,917,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2np,enclosure,mixed,0,false,6490,69,943,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6733,35,858,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2np,road_misplacement,mixed,0,false,6508,35,1011,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,containment,containment,0,false,6781,88,2260,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6713,38,961,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6719,88,1161,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6739,39,967,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2np,topology,path,0,false,6479,111,2559,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,false,6725,44,1267,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,topology,path,0,false,6724,69,1234,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,false,6753,35,1153,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,true,6764,38,774,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6723,66,1673,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2np,crossing,crossing,0,false,6416,50,825,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6735,74,970,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2np,nearest,nearest,0,true,6406,38,859,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2np,coverage_gap,coverage,0,false,6418,44,883,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2np,containment,containment,0,false,6412,70,1101,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2np,onstreet,on-street,0,false,6426,35,1133,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2np,blockage,line-intersection,0,false,6432,39,1067,false,,,,
