sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,claude-haiku-4-5-20251001,verdict,crossing,crossing,0,true,2203,35,1071,false,,,,
scene-0,claude-haiku-4-5-20251001,verdict,nearest,nearest,0,true,2193,38,1076,false,,,,
scene-0,claude-haiku-4-5-20251001,verdict,coverage_gap,coverage,0,true,2205,35,1091,false,,,,
scene-0,claude-haiku-4-5-20251001,verdict,onstreet,on-street,0,true,2213,35,1096,false,,,,
scene-1,claude-haiku-4-5-20251001,verdict,onstreet,on-street,0,true,2218,35,1127,false,,,,
scene-0,claude-haiku-4-5-20251001,verdict,nearest_offstreet,mixed,0,true,2244,38,1239,false,,,,
scene-1,claude-haiku-4-5-20251001,verdict,nearest,nearest,0,true,2198,38,1251,false,,,,
scene-0,claude-haiku-4-5-20251001,verdict,containment,containment,0,true,2199,94,1276,false,,,,
scene-0,claude-haiku-4-5-20251001,verdict,road_misplacement,mixed,0,false,2233,35,1290,false,,,,
scene-1,claude-haiku-4-5-20251001,verdict,crossing,crossing,0,true,2208,42,1338,false,,,,
scene-0,claude-haiku-4-5-20251001,verdict,topology,path,0,true,2204,45,1378,false,,,,
scene-0,claude-haiku-4-5-20251001,verdict,enclosure,mixed,0,false,2215,35,1409,false,,,,
scene-1,claude-haiku-4-5-20251001,verdict,coverage_gap,coverage,0,true,2210,35,1511,false,,,,
scene-0,claude-haiku-4-5-20251001,verdict,blockage,line-intersection,0,false,2219,35,1667,false,,,,
scene-1,claude-haiku-4-5-20251001,verdict,containment,containment,0,true,2204,88,1839,false,,,,
scene-1,claude-haiku-4-5-20251001,verdict,road_misplacement,mixed,0,false,2238,35,887,false,,,,
scene-1,claude-haiku-4-5-20251001,verdict,nearest_offstreet,mixed,0,false,2249,38,872,false,,,,
scene-1,claude-haiku-4-5-20251001,verdict,enclosure,mixed,0,false,2220,35,880,false,,,,
scene-2,claude-haiku-4-5-20251001,verdict,onstreet,on-street,0,true,2228,35,730,false,,,,
scene-1,claude-haiku-4-5-20251001,verdict,blockage,line-intersection,0,false,2224,35,933,false,,,,
scene-2,claude-haiku-4-5-20251001,verdict,crossing,crossing,0,true,2218,58,837,false,,,,
scene-2,claude-haiku-4-5-20251001,verdict,road_misplacement,mixed,0,false,2248,35,750,false,,,,
