sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,anthropic/claude-haiku-4.5,json,crossing,crossing,0,false,9627,35,1299,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,6844,38,1324,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,false,6850,40,1340,true,e|b,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,false,6856,39,1354,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,6854,74,1370,false,,,,
scene-0,anthropic/claude-haiku-4.5,json,blockage,line-intersection,0,false,9643,44,1382,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,6864,35,1422,false,,,,
scene-0,anthropic/claude-haiku-4.5,json,nearest_offstreet,mixed,0,true,9668,38,1447,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,6855,45,1508,false,,,,
scene-0,anthropic/claude-haiku-4.5,json,containment,containment,0,false,9623,35,1520,false,,,,
scene-0,anthropic/claude-haiku-4.5,json,nearest,nearest,0,true,9617,38,1613,false,,,,
scene-0,anthropic/claude-haiku-4.5,json,onstreet,on-street,0,false,9637,35,1616,false,,,,
scene-0,anthropic/claude-haiku-4.5,json,enclosure,mixed,0,false,9639,59,1712,false,,,,
scene-0,anthropic/claude-haiku-4.5,json,coverage_gap,coverage,0,false,9629,39,1758,false,,,,
scene-0,anthropic/claude-haiku-4.5,json,road_misplacement,mixed,0,false,9657,35,1794,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,true,6895,38,964,false,,,,
scene-1,anthropic/claude-haiku-4.5,json,containment,containment,0,false,10488,35,1017,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,6884,40,1078,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,6866,49,1156,false,,,,
scene-1,anthropic/claude-haiku-4.5,json,onstreet,on-street,0,true,10502,35,1195,false,,,,
scene-1,anthropic/claude-haiku-4.5,json,blockage,line-intersection,0,false,10508,44,1149,false,,,,
scene-1,anthropic/claude-haiku-4.5,json,road_misplacement,mixed,0,false,10522,35,1171,false,,,,
scene-1,anthropic/claude-haiku-4.5,json,topology,path,0,true,10493,45,1285,false,,,,
scene-1,anthropic/claude-haiku-4.5,json,nearest,nearest,0,true,10482,38,1389,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,6962,40,1078,false,,,,
scene-1,anthropic/claude-haiku-4.5,json,nearest_offstreet,mixed,0,true,10533,38,1161,false,,,,
scene-1,anthropic/claude-haiku-4.5,json,enclosure,mixed,0,false,10504,39,1206,false,,,,
scene-1,anthropic/claude-haiku-4.5,json,crossing,crossing,0,false,10492,35,1566,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,6870,44,1714,false,,,,
scene-1,anthropic/claude-haiku-4.5,json,coverage_gap,coverage,0,false,10494,39,1597,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,6976,35,834,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,6956,38,846,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,6966,106,1130,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,false,6968,44,1202,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,true,7007,38,1023,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,6978,49,1125,false,,,,
scene-2,anthropic/claude-haiku-4.5,json,onstreet,on-street,0,true,9222,35,1022,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,6996,35,1235,false,,,,
scene-2,anthropic/claude-haiku-4.5,json,containment,containment,0,true,9208,35,1284,false,,,,
scene-2,anthropic/claude-haiku-4.5,json,coverage_gap,coverage,0,false,9214,54,1226,false,,,,
scene-2,anthropic/claude-haiku-4.5,json,crossing,crossing,0,false,9212,39,1413,false,,,,
