sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,anthropic/claude-haiku-4.5,wkt,nearest,nearest,0,true,7350,38,2122,false,,,,
scene-0,anthropic/claude-haiku-4.5,wkt,crossing,crossing,0,true,7360,35,2172,false,,,,
scene-0,anthropic/claude-haiku-4.5,wkt,onstreet,on-street,0,false,7370,35,2215,false,,,,
scene-0,anthropic/claude-haiku-4.5,wkt,road_misplacement,mixed,0,false,7390,35,2247,false,,,,
scene-0,anthropic/claude-haiku-4.5,wkt,enclosure,mixed,0,false,7372,69,2253,false,,,,
scene-0,anthropic/claude-haiku-4.5,wkt,nearest_offstreet,mixed,0,false,7401,38,2256,false,,,,
scene-0,anthropic/claude-haiku-4.5,wkt,coverage_gap,coverage,0,true,7362,35,2299,false,,,,
scene-0,anthropic/claude-haiku-4.5,wkt,blockage,line-intersection,0,false,7376,44,2390,false,,,,
scene-0,anthropic/claude-haiku-4.5,wkt,topology,path,0,true,7361,45,2507,false,,,,
scene-0,anthropic/claude-haiku-4.5,image,topology,path,0,false,2621,43,2759,true,1|4|E,,,
scene-0,anthropic/claude-haiku-4.5,image,coverage_gap,coverage,0,true,2622,35,2804,false,,,,
scene-0,anthropic/claude-haiku-4.5,wkt,containment,containment,0,false,7356,35,2984,false,,,,
scene-0,anthropic/claude-haiku-4.5,image,crossing,crossing,0,true,2620,35,3097,false,,,,
scene-0,anthropic/claude-haiku-4.5,image,nearest,nearest,0,false,2610,35,3128,true,1,,,
scene-1,anthropic/claude-haiku-4.5,wkt,crossing,crossing,0,false,10025,35,1155,false,,,,
scene-1,anthropic/claude-haiku-4.5,wkt,onstreet,on-street,0,false,10035,35,1189,false,,,,
scene-0,anthropic/claude-haiku-4.5,image,containment,containment,0,false,2616,35,3582,false,,,,
scene-1,anthropic/claude-haiku-4.5,wkt,coverage_gap,coverage,0,false,10027,39,1236,false,,,,
scene-0,anthropic/claude-haiku-4.5,image,onstreet,on-street,0,true,2630,35,3794,false,,,,
scene-1,anthropic/claude-haiku-4.5,wkt,containment,containment,0,false,10021,35,1556,false,,,,
scene-1,anthropic/claude-haiku-4.5,wkt,nearest,nearest,0,true,10015,38,1452,false,,,,
scene-0,anthropic/claude-haiku-4.5,image,blockage,line-intersection,0,false,2636,35,1824,false,,,,
scene-0,anthropic/claude-haiku-4.5,image,enclosure,mixed,0,false,2632,43,1803,true,B|A|C,,,
scene-1,anthropic/claude-haiku-4.5,wkt,blockage,line-intersection,0,false,10041,35,1289,false,,,,
scene-1,anthropic/claude-haiku-4.5,wkt,road_misplacement,mixed,0,false,10055,35,1243,false,,,,
scene-1,anthropic/claude-haiku-4.5,wkt,topology,path,0,true,10026,45,1445,false,,,,
scene-1,anthropic/claude-haiku-4.5,wkt,enclosure,mixed,0,false,10037,44,1134,false,,,,
scene-0,anthropic/claude-haiku-4.5,image,nearest_offstreet,mixed,0,false,2661,35,1996,false,,,,
scene-1,anthropic/claude-haiku-4.5,wkt,nearest_offstreet,mixed,0,false,10066,38,1127,false,,,,
scene-0,anthropic/claude-haiku-4.5,image,road_misplacement,mixed,0,false,2650,35,2303,false,,,,
scene-1,anthropic/claude-haiku-4.5,image,crossing,crossing,0,false,2620,35,1331,false,,,,
scene-1,anthropic/claude-haiku-4.5,image,nearest_offstreet,mixed,0,false,2661,35,1172,true,0,,,
scene-2,anthropic/claude-haiku-4.5,wkt,containment,containment,0,true,8606,35,1070,false,,,,
scene-1,anthropic/claude-haiku-4.5,image,enclosure,mixed,0,false,2632,43,1419,true,D|B|F,,,
scene-1,anthropic/claude-haiku-4.5,image,containment,containment,0,false,2616,35,2021,false,,,,
scene-2,anthropic/claude-haiku-4.5,wkt,onstreet,on-street,0,true,8620,35,1239,false,,,,
scene-2,anthropic/claude-haiku-4.5,wkt,topology,path,0,true,8611,45,1300,false,,,,
scene-1,anthropic/claude-haiku-4.5,image,nearest,nearest,0,false,2610,35,2093,false,,,,
scene-2,anthropic/claude-haiku-4.5,wkt,blockage,line-intersection,0,false,8626,35,1158,false,,,,
scene-1,anthropic/claude-haiku-4.5,image,road_misplacement,mixed,0,false,2650,40,2078,true,0|2,,,
scene-1,anthropic/claude-haiku-4.5,image,blockage,line-intersection,0,false,2636,35,2211,false,,,,
scene-2,anthropic/claude-haiku-4.5,wkt,nearest,nearest,0,true,8600,38,1812,false,,,,
scene-1,anthropic/claude-haiku-4.5,image,topology,path,0,false,2621,58,2286,true,0|2|C|G|F|5|11|L,,,
scene-2,anthropic/claude-haiku-4.5,wkt,coverage_gap,coverage,0,false,8612,44,2043,false,,,,
scene-1,anthropic/claude-haiku-4.5,image,onstreet,on-street,0,true,2630,35,2959,false,,,,
scene-1,anthropic/claude-haiku-4.5,image,coverage_gap,coverage,0,true,2622,35,2882,false,,,,
scene-2,anthropic/claude-haiku-4.5,image,crossing,crossing,0,false,2620,35,1264,false,,,,
scene-2,anthropic/claude-haiku-4.5,wkt,enclosure,mixed,0,false,8622,44,1470,false,,,,
scene-2,anthropic/claude-haiku-4.5,wkt,nearest_offstreet,mixed,0,true,8651,38,1337,false,,,,
scene-2,anthropic/claude-haiku-4.5,image,nearest,nearest,0,false,2610,35,1077,true,6,,,
scene-2,anthropic/claude-haiku-4.5,image,containment,containment,0,true,2616,35,1667,false,,,,
scene-2,anthropic/claude-haiku-4.5,image,topology,path,0,false,2621,58,1234,true,1|3|5|4|7|10|9|11,,,
scene-2,anthropic/claude-haiku-4.5,wkt,road_misplacement,mixed,0,false,8640,35,2027,false,,,,
scene-2,anthropic/claude-haiku-4.5,image,blockage,line-intersection,0,false,2636,35,1277,false,,,,
scene-2,anthropic/claude-haiku-4.5,image,coverage_gap,coverage,0,false,2622,35,1508,false,,,,
scene-2,anthropic/claude-haiku-4.5,image,onstreet,on-street,0,false,2630,35,1747,false,,,,
scene-2,anthropic/claude-haiku-4.5,image,enclosure,mixed,0,false,2632,49,1437,true,10|7|4|2|0,,,
scene-2,anthropic/claude-haiku-4.5,wkt,crossing,crossing,0,false,8610,35,3416,false,,,,
scene-2,anthropic/claude-haiku-4.5,image,nearest_offstreet,mixed,0,false,2661,35,1368,false,,,,
scene-3,anthropic/claude-haiku-4.5,wkt,containment,containment,0,false,8308,35,1171,false,,,,
scene-3,anthropic/claude-haiku-4.5,wkt,coverage_gap,coverage,0,true,8314,39,1241,false,,,,
scene-2,anthropic/claude-haiku-4.5,image,road_misplacement,mixed,0,false,2650,35,1972,false,,,,
scene-3,anthropic/claude-haiku-4.5,wkt,nearest,nearest,0,true,8302,38,1324,false,,,,
scene-3,anthropic/claude-haiku-4.5,wkt,blockage,line-intersection,0,false,8328,44,1028,false,,,,
scene-3,anthropic/claude-haiku-4.5,wkt,onstreet,on-street,0,true,8322,35,1452,false,,,,
scene-3,anthropic/claude-haiku-4.5,wkt,enclosure,mixed,0,false,8324,44,1193,false,,,,
scene-3,anthropic/claude-haiku-4.5,image,containment,containment,0,false,2616,35,1125,false,,,,
scene-3,anthropic/claude-haiku-4.5,wkt,road_misplacement,mixed,0,false,8342,35,1489,false,,,,
scene-3,anthropic/claude-haiku-4.5,wkt,nearest_offstreet,mixed,0,false,8353,38,1419,false,,,,
scene-3,anthropic/claude-haiku-4.5,wkt,topology,path,0,true,8313,45,1840,false,,,,
scene-3,anthropic/claude-haiku-4.5,wkt,crossing,crossing,0,true,8312,35,2184,false,,,,
scene-3,anthropic/claude-haiku-4.5,image,coverage_gap,coverage,0,false,2622,35,1295,false,,,,
scene-3,anthropic/claude-haiku-4.5,image,nearest,nearest,0,false,2610,35,1429,true,0,,,
scene-4,anthropic/claude-haiku-4.5,wkt,containment,containment,0,false,8821,35,1010,false,,,,
scene-3,anthropic/claude-haiku-4.5,image,blockage,line-intersection,0,false,2636,35,1219,false,,,,
scene-3,anthropic/claude-haiku-4.5,image,road_misplacement,mixed,0,false,2650,35,1289,false,,,,
scene-4,anthropic/claude-haiku-4.5,wkt,crossing,crossing,0,true,8825,35,830,false,,,,
scene-3,anthropic/claude-haiku-4.5,image,nearest_offstreet,mixed,0,false,2661,35,1256,false,,,,
scene-3,anthropic/claude-haiku-4.5,image,crossing,crossing,0,true,2620,35,1957,false,,,,
scene-4,anthropic/claude-haiku-4.5,wkt,onstreet,on-street,0,true,8835,35,916,false,,,,
scene-3,anthropic/claude-haiku-4.5,image,onstreet,on-street,0,true,2630,35,2025,false,,,,
scene-3,anthropic/claude-haiku-4.5,image,enclosure,mixed,0,false,2632,43,1575,true,C|A|B,,,
scene-4,anthropic/claude-haiku-4.5,wkt,blockage,line-intersection,0,false,8841,35,847,false,,,,
scene-4,anthropic/claude-haiku-4.5,wkt,nearest,nearest,0,true,8815,38,1080,false,,,,
scene-4,anthropic/claude-haiku-4.5,wkt,enclosure,mixed,0,false,8837,54,953,false,,,,
scene-3,anthropic/claude-haiku-4.5,image,topology,path,0,false,2621,49,2338,true,0|1|2|5|11,,,
scene-4,anthropic/claude-haiku-4.5,wkt,nearest_offstreet,mixed,0,false,8866,38,1062,false,,,,
scene-4,anthropic/claude-haiku-4.5,wkt,coverage_gap,coverage,0,false,8827,64,1608,false,,,,
scene-4,anthropic/claude-haiku-4.5,image,containment,containment,0,false,2616,35,1180,false,,,,
scene-4,anthropic/claude-haiku-4.5,wkt,topology,path,0,true,8826,45,1754,false,,,,
scene-4,anthropic/claude-haiku-4.5,image,onstreet,on-street,0,true,2630,35,1236,false,,,,
scene-4,anthropic/claude-haiku-4.5,image,nearest,nearest,0,false,2610,35,1290,true,1,,,
scene-4,anthropic/claude-haiku-4.5,wkt,road_misplacement,mixed,0,false,8855,35,1710,false,,,,
scene-4,anthropic/claude-haiku-4.5,image,crossing,crossing,0,true,2620,35,1382,false,,,,
scene-4,anthropic/claude-haiku-4.5,image,blockage,line-intersection,0,false,2636,35,1351,false,,,,
scene-4,anthropic/claude-haiku-4.5,image,topology,path,0,false,2621,49,1390,true,1|0|2|7|9,,,
scene-4,anthropic/claude-haiku-4.5,image,road_misplacement,mixed,0,false,2650,35,1359,false,,,,
scene-5,anthropic/claude-haiku-4.5,wkt,containment,containment,0,false,8235,35,1039,false,,,,
scene-4,anthropic/claude-haiku-4.5,image,enclosure,mixed,0,false,2632,52,1419,true,1|2|5|6|7|9,,,
scene-5,anthropic/claude-haiku-4.5,wkt,nearest,nearest,0,true,8229,38,940,false,,,,
scene-5,anthropic/claude-haiku-4.5,wkt,onstreet,on-street,0,false,8249,35,1039,false,,,,
scene-5,anthropic/claude-haiku-4.5,wkt,coverage_gap,coverage,0,false,8241,39,998,false,,,,
scene-5,anthropic/claude-haiku-4.5,wkt,blockage,line-intersection,0,false,8255,44,878,false,,,,
scene-5,anthropic/claude-haiku-4.5,wkt,crossing,crossing,0,true,8239,35,1414,false,,,,
scene-5,anthropic/claude-haiku-4.5,wkt,nearest_offstreet,mixed,0,false,8280,38,835,false,,,,
scene-5,anthropic/claude-haiku-4.5,wkt,enclosure,mixed,0,false,8251,49,912,false,,,,
scene-4,anthropic/claude-haiku-4.5,image,nearest_offstreet,mixed,0,false,2661,35,1862,false,,,,
scene-5,anthropic/claude-haiku-4.5,wkt,topology,path,0,true,8240,45,1213,false,,,,
scene-4,anthropic/claude-haiku-4.5,image,coverage_gap,coverage,0,false,2622,35,2372,false,,,,
scene-5,anthropic/claude-haiku-4.5,wkt,road_misplacement,mixed,0,false,8269,35,1202,false,,,,
scene-5,anthropic/claude-haiku-4.5,image,containment,containment,0,false,2616,35,1313,false,,,,
scene-5,anthropic/claude-haiku-4.5,image,nearest,nearest,0,false,2610,35,1304,true,1,,,
scene-5,anthropic/claude-haiku-4.5,image,coverage_gap,coverage,0,true,2622,35,1274,false,,,,
scene-5,anthropic/claude-haiku-4.5,image,crossing,crossing,0,true,2620,35,1498,false,,,,
scene-6,anthropic/claude-haiku-4.5,wkt,onstreet,on-street,0,true,12722,35,989,false,,,,
scene-6,anthropic/claude-haiku-4.5,wkt,crossing,crossing,0,false,12712,39,1113,false,,,,
scene-6,anthropic/claude-haiku-4.5,wkt,containment,containment,0,false,12708,35,1206,false,,,,
scene-5,anthropic/claude-haiku-4.5,image,topology,path,0,false,2621,55,1488,true,0|1|B|E|4|7|H,,,
scene-6,anthropic/claude-haiku-4.5,wkt,coverage_gap,coverage,0,false,12714,39,951,false,,,,
scene-6,anthropic/claude-haiku-4.5,wkt,nearest,nearest,0,true,12702,38,1089,false,,,,
scene-6,anthropic/claude-haiku-4.5,wkt,topology,path,0,true,12713,45,1017,false,,,,
scene-5,anthropic/claude-haiku-4.5,image,nearest_offstreet,mixed,0,false,2661,35,1528,false,,,,
scene-5,anthropic/claude-haiku-4.5,image,road_misplacement,mixed,0,false,2650,35,1621,false,,,,
scene-5,anthropic/claude-haiku-4.5,image,onstreet,on-street,0,true,2630,35,2095,false,,,,
scene-6,anthropic/claude-haiku-4.5,wkt,blockage,line-intersection,0,false,12728,44,1036,false,,,,
scene-6,anthropic/claude-haiku-4.5,wkt,road_misplacement,mixed,0,false,12742,35,917,false,,,,
scene-5,anthropic/claude-haiku-4.5,image,enclosure,mixed,0,false,2632,49,1884,true,1|4|8|0|3,,,
scene-6,anthropic/claude-haiku-4.5,wkt,nearest_offstreet,mixed,0,false,12753,38,939,false,,,,
scene-6,anthropic/claude-haiku-4.5,wkt,enclosure,mixed,0,false,12724,54,1027,false,,,,
scene-6,anthropic/claude-haiku-4.5,image,crossing,crossing,0,false,2620,35,1153,false,,,,
scene-6,anthropic/claude-haiku-4.5,image,nearest,nearest,0,false,2610,35,1240,true,1,,,
scene-6,anthropic/claude-haiku-4.5,image,blockage,line-intersection,0,false,2636,35,1145,false,,,,
scene-6,anthropic/claude-haiku-4.5,image,coverage_gap,coverage,0,true,2622,35,1415,false,,,,
scene-6,anthropic/claude-haiku-4.5,image,topology,path,0,false,2621,55,1474,true,1|0|B|D|3|8|I,,,
scene-6,anthropic/claude-haiku-4.5,image,road_misplacement,mixed,0,false,2650,35,1317,false,,,,
scene-6,anthropic/claude-haiku-4.5,image,nearest_offstreet,mixed,0,false,2661,35,1211,true,4,,,
scene-5,anthropic/claude-haiku-4.5,image,blockage,line-intersection,0,false,2636,35,3036,false,,,,
scene-7,anthropic/claude-haiku-4.5,wkt,crossing,crossing,0,true,7903,35,1072,false,,,,
scene-6,anthropic/claude-haiku-4.5,image,onstreet,on-street,0,true,2630,35,1653,false,,,,
scene-7,anthropic/claude-haiku-4.5,wkt,containment,containment,0,false,7899,35,1203,false,,,,
scene-7,anthropic/claude-haiku-4.5,wkt,nearest,nearest,0,false,7893,38,1147,false,,,,
scene-7,anthropic/claude-haiku-4.5,wkt,onstreet,on-street,0,true,7913,35,1254,false,,,,
scene-7,anthropic/claude-haiku-4.5,wkt,coverage_gap,coverage,0,false,7905,54,1184,false,,,,
scene-6,anthropic/claude-haiku-4.5,image,containment,containment,0,false,2616,35,2218,false,,,,
scene-7,anthropic/claude-haiku-4.5,wkt,blockage,line-intersection,0,false,7919,49,1106,false,,,,
scene-7,anthropic/claude-haiku-4.5,wkt,topology,path,0,true,7904,45,1267,false,,,,
scene-7,anthropic/claude-haiku-4.5,image,containment,containment,0,false,2616,35,1065,false,,,,
scene-6,anthropic/claude-haiku-4.5,image,enclosure,mixed,0,false,2632,46,2357,true,B|D|E|H,,,
scene-7,anthropic/claude-haiku-4.5,image,nearest,nearest,0,false,2610,35,1051,false,,,,
scene-7,anthropic/claude-haiku-4.5,image,coverage_gap,coverage,0,true,2622,35,1026,false,,,,
scene-7,anthropic/claude-haiku-4.5,image,blockage,line-intersection,0,false,2636,35,1052,false,,,,
scene-7,anthropic/claude-haiku-4.5,wkt,road_misplacement,mixed,0,false,7933,35,1518,false,,,,
scene-7,anthropic/claude-haiku-4.5,wkt,enclosure,mixed,0,false,7915,49,1415,false,,,,
scene-7,anthropic/claude-haiku-4.5,image,onstreet,on-street,0,true,2630,35,1358,false,,,,
scene-7,anthropic/claude-haiku-4.5,image,topology,path,0,false,2621,43,1282,true,2|6|10,,,
scene-7,anthropic/claude-haiku-4.5,image,enclosure,mixed,0,false,2632,40,1129,true,3|0,,,
scene-7,anthropic/claude-haiku-4.5,image,road_misplacement,mixed,0,false,2650,35,1293,false,,,,
scene-8,anthropic/claude-haiku-4.5,wkt,crossing,crossing,0,false,8215,35,1033,false,,,,
scene-8,anthropic/claude-haiku-4.5,wkt,containment,containment,0,true,8211,35,1074,false,,,,
scene-7,anthropic/claude-haiku-4.5,image,nearest_offstreet,mixed,0,false,2661,35,1495,false,,,,
scene-8,anthropic/claude-haiku-4.5,wkt,topology,path,0,true,8216,45,1050,false,,,,
scene-8,anthropic/claude-haiku-4.5,wkt,nearest,nearest,0,true,8205,38,1106,false,,,,
scene-8,anthropic/claude-haiku-4.5,wkt,road_misplacement,mixed,0,false,8245,35,953,false,,,,
scene-8,anthropic/claude-haiku-4.5,wkt,nearest_offstreet,mixed,0,false,8256,38,880,false,,,,
scene-8,anthropic/claude-haiku-4.5,wkt,enclosure,mixed,0,false,8227,64,976,false,,,,
scene-8,anthropic/claude-haiku-4.5,wkt,onstreet,on-street,0,false,8225,35,1278,false,,,,
scene-8,anthropic/claude-haiku-4.5,wkt,blockage,line-intersection,0,false,8231,39,1214,false,,,,
scene-8,anthropic/claude-haiku-4.5,wkt,coverage_gap,coverage,0,false,8217,39,1542,false,,,,
scene-8,anthropic/claude-haiku-4.5,image,containment,containment,0,true,2616,35,1387,false,,,,
scene-8,anthropic/claude-haiku-4.5,image,nearest,nearest,0,false,2610,35,1355,true,3,,,
scene-9,anthropic/claude-haiku-4.5,wkt,crossing,crossing,0,false,8290,35,1023,false,,,,
scene-8,anthropic/claude-haiku-4.5,image,blockage,line-intersection,0,false,2636,35,1251,false,,,,
scene-8,anthropic/claude-haiku-4.5,image,coverage_gap,coverage,0,false,2622,35,1532,false,,,,
scene-9,anthropic/claude-haiku-4.5,wkt,containment,containment,0,false,8286,35,1168,false,,,,
scene-8,anthropic/claude-haiku-4.5,image,onstreet,on-street,0,false,2630,35,1918,false,,,,
scene-8,anthropic/claude-haiku-4.5,image,road_misplacement,mixed,0,false,2650,40,1359,true,4|6,,,
scene-9,anthropic/claude-haiku-4.5,wkt,onstreet,on-street,0,false,8300,35,1215,false,,,,
scene-8,anthropic/claude-haiku-4.5,image,crossing,crossing,0,false,2620,35,2344,false,,,,
scene-9,anthropic/claude-haiku-4.5,wkt,nearest,nearest,0,true,8280,38,1252,false,,,,
scene-8,anthropic/claude-haiku-4.5,image,nearest_offstreet,mixed,0,false,2661,35,1628,false,,,,
scene-9,anthropic/claude-haiku-4.5,wkt,coverage_gap,coverage,0,false,8292,39,1104,false,,,,
scene-8,anthropic/claude-haiku-4.5,image,enclosure,mixed,0,false,2632,43,2138,true,2|0|3,,,
scene-9,anthropic/claude-haiku-4.5,wkt,nearest_offstreet,mixed,0,false,8331,38,943,false,,,,
scene-9,anthropic/claude-haiku-4.5,wkt,topology,path,0,true,8291,45,1236,false,,,,
scene-9,anthropic/claude-haiku-4.5,wkt,blockage,line-intersection,0,false,8306,35,1117,false,,,,
scene-9,anthropic/claude-haiku-4.5,wkt,road_misplacement,mixed,0,false,8320,35,1306,false,,,,
scene-9,anthropic/claude-haiku-4.5,image,containment,containment,0,false,2616,35,1363,false,,,,
scene-9,anthropic/claude-haiku-4.5,image,onstreet,on-street,0,true,2630,35,1303,false,,,,
scene-9,anthropic/claude-haiku-4.5,wkt,enclosure,mixed,0,false,8302,54,1553,false,,,,
scene-9,anthropic/claude-haiku-4.5,image,crossing,crossing,0,false,2620,35,1507,false,,,,
scene-9,anthropic/claude-haiku-4.5,image,topology,path,0,false,2621,46,1291,true,0|5|8|10,,,
scene-9,anthropic/claude-haiku-4.5,image,blockage,line-intersection,0,false,2636,35,1286,false,,,,
scene-9,anthropic/claude-haiku-4.5,image,coverage_gap,coverage,0,false,2622,35,1363,false,,,,
scene-9,anthropic/claude-haiku-4.5,image,road_misplacement,mixed,0,false,2650,35,1135,false,,,,
scene-9,anthropic/claude-haiku-4.5,image,nearest_offstreet,mixed,0,false,2661,35,1238,false,,,,
scene-10,anthropic/claude-haiku-4.5,wkt,containment,containment,0,true,8726,35,1322,false,,,,
scene-10,anthropic/claude-haiku-4.5,wkt,crossing,crossing,0,false,8730,39,1142,false,,,,
scene-9,anthropic/claude-haiku-4.5,image,nearest,nearest,0,false,2610,35,2210,false,,,,
scene-10,anthropic/claude-haiku-4.5,wkt,nearest,nearest,0,true,8720,38,1118,false,,,,
scene-10,anthropic/claude-haiku-4.5,wkt,topology,path,0,true,8731,45,1142,false,,,,
scene-9,anthropic/claude-haiku-4.5,image,enclosure,mixed,0,false,2632,40,1830,true,H|0,,,
scene-10,anthropic/claude-haiku-4.5,wkt,blockage,line-intersection,0,false,8746,44,1065,false,,,,
scene-10,anthropic/claude-haiku-4.5,wkt,coverage_gap,coverage,0,false,8732,39,1290,false,,,,
scene-10,anthropic/claude-haiku-4.5,wkt,road_misplacement,mixed,0,false,8760,35,1098,false,,,,
