arm,subjectid,objectid,predicate,types,answer,correct,inputTokens,outputTokens,cost,latencyMs,error
wkt,"road_(8997363242, 2634716954)","road_(2634716954, 8997363243)",contains,LineString-LineString,"(linestring,touches,linestring)",false,221,10,0.000271,1143,
wkt,poi_way/257174438,"road_(1998162839, 1998162788)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,330,11,0.000385,1163,
wkt,"road_(53496379, 5656899646)","road_(53496379, 5657142535)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,221,11,0.000276,1208,
wkt,poi_way/1134399613,poi_way/1134399612,contains,LineString-LineString,"(linestring,overlaps,linestring)",false,265,11,0.00032,1234,
wkt,node_1385529573,"road_(3590603502, 3210160742)",disjoint,Point-LineString,"(point,disjoint,linestring)",true,209,11,0.000264,1237,
wkt,poi_way/257174438,"road_(1998162839, 53543241)",overlaps,LineString-LineString,"(linestring,overlaps,linestring)",true,331,11,0.000386,1244,
wkt,poi_way/287637061,"road_(3590603502, 3210160742)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,254,11,0.000309,1271,
wkt,"road_(1998162839, 1998162788)","road_(53543540, 1998162788)",touches,LineString-LineString,"(linestring,touches,linestring)",true,219,10,0.000269,1285,
wkt,poi_way/257174438,"road_(1998162788, 1998162839)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,330,11,0.000385,1315,
wkt,parcel_70823306050,"road_(3299281672, 3420767254)",disjoint,Polygon-LineString,"(polygon,disjoint,linestring)",true,251,14,0.000321,1386,
wkt,poi_way/287637061,"road_(3420767254, 3590603510)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,254,11,0.000309,1391,
wkt,"road_(3420767254, 3590603510)","road_(3210160742, 3590603510)",touches,LineString-LineString,"(linestring,touches,linestring)",true,221,10,0.000271,1611,
wkt,poi_way/1134399613,parcel_70920222034,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,298,12,0.000358,1808,
wkt,poi_way/323552582,"road_(9327940393, 9670254706)",contains,LineString-LineString,"(linestring,disjoint,linestring)",false,287,12,0.000347,793,
wkt,poi_way/323552582,node_1238014979,contains,LineString-Point,"(linestring,contains,point)",true,275,9,0.00032,777,
wkt,parcel_70921108019,census_550250032001,disjoint,Polygon-Polygon,"(polygon,disjoint,polygon)",true,518,14,0.000588,827,
wkt,node_1859407161,census_550250032001,within,Point-Polygon,"(point,within,polygon)",true,473,9,0.000518,860,
wkt,"road_(2771715843, 3868484436)","road_(3868484435, 471252064)",contains,LineString-LineString,"(linestring,touches,linestring)",false,216,10,0.000266,948,
wkt,"road_(3297233867, 3295236004)","line_road_(3297233868, 3297233867)",touches,LineString-LineString,"(linestring,overlaps,linestring)",false,232,11,0.000287,824,
wkt,poi_way/323552582,"road_(9670254706, 9327940393)",contains,LineString-LineString,"(linestring,disjoint,linestring)",false,287,12,0.000347,903,
wkt,poi_way/177921886,"road_(3297233866, 3295236002)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,265,11,0.00032,820,
wkt,"road_(5656899646, 53496379)","road_(53496379, 5657142535)",contains,LineString-LineString,"(linestring,touches,linestring)",false,221,10,0.000271,2251,
wkt,poi_way/232690021,"road_(3936979920, 3936957324)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,253,11,0.000308,1184,
wkt,poi_way/177921886,"line_road_(3297233868, 3297233867)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,276,11,0.000331,1073,
wkt,node_3297422086,"road_(3297233866, 1883218361)",disjoint,Point-LineString,"(point,disjoint,linestring)",true,209,11,0.000264,1024,
wkt,census_550250002022,"road_(3295236003, 3295236004)",touches,Polygon-LineString,"(polygon,contains,linestring)",false,315,12,0.000375,868,
wkt,poi_way/287637061,"road_(3299281672, 3420767254)",overlaps,LineString-LineString,"(linestring,crosses,linestring)",false,254,10,0.000304,2679,
wkt,parcel_70920121012,poi_way/1134399612,contains,Polygon-LineString,"(polygon,contains,linestring)",true,516,183,0.001431,2798,
wkt,poi_way/177921886,"road_(3297234015, 2635547740)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,265,11,0.00032,1481,
wkt,node_3295236002,"road_(3295236003, 3295236002)",touches,Point-LineString,"(point,touches,linestring)",true,209,9,0.000254,863,
wkt,"road_(3297234015, 3297233876)","road_(3297233876, 1883218361)",touches,LineString-LineString,"(linestring,touches,linestring)",true,221,10,0.000271,781,
wkt,"road_(3297233868, 3297233870)","road_(3297233867, 3297233868)",touches,LineString-LineString,"(linestring,touches,linestring)",true,220,10,0.00027,836,
wkt,"road_(3297234015, 2635547740)","road_(3297234019, 2635547740)",touches,LineString-LineString,"(linestring,touches,linestring)",true,221,10,0.000271,881,
wkt,parcel_70824414266,"road_(3295236003, 3295236002)",disjoint,Polygon-LineString,"(polygon,disjoint,linestring)",true,327,14,0.000397,913,
wkt,poi_way/177921886,node_3295236002,contains,LineString-Point,"(linestring,contains,point)",true,253,9,0.000298,782,
