sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,claude-haiku-4-5-20251001,json,nearest,nearest,1,true,8174,38,1205,false,,,,
scene-0,claude-haiku-4-5-20251001,json,topology,path,0,true,8185,45,1214,false,,,,
scene-0,claude-haiku-4-5-20251001,json,containment,containment,0,false,8180,35,1248,false,,,,
scene-0,claude-haiku-4-5-20251001,json,crossing,crossing,0,true,8184,35,1278,false,,,,
scene-0,claude-haiku-4-5-20251001,json,containment,containment,2,false,8180,35,1296,false,,,,
scene-0,claude-haiku-4-5-20251001,json,coverage_gap,coverage,2,true,8186,35,1314,false,,,,
scene-0,claude-haiku-4-5-20251001,json,crossing,crossing,2,true,8184,35,1330,false,,,,
scene-0,claude-haiku-4-5-20251001,json,crossing,crossing,1,true,8184,35,1335,false,,,,
scene-0,claude-haiku-4-5-20251001,json,containment,containment,1,false,8180,35,1359,false,,,,
scene-0,claude-haiku-4-5-20251001,json,coverage_gap,coverage,0,true,8186,35,1364,false,,,,
scene-0,claude-haiku-4-5-20251001,json,coverage_gap,coverage,1,true,8186,35,1377,false,,,,
scene-0,claude-haiku-4-5-20251001,json,onstreet,on-street,1,false,8194,35,1383,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest,nearest,0,true,8174,38,1411,false,,,,
scene-0,claude-haiku-4-5-20251001,json,onstreet,on-street,0,false,8194,35,1418,false,,,,
scene-0,claude-haiku-4-5-20251001,json,onstreet,on-street,2,false,8194,35,1592,false,,,,
scene-0,claude-haiku-4-5-20251001,json,topology,path,1,true,8185,45,880,false,,,,
scene-0,claude-haiku-4-5-20251001,json,blockage,line-intersection,1,false,8200,49,831,false,,,,
scene-0,claude-haiku-4-5-20251001,json,blockage,line-intersection,2,false,8200,49,824,false,,,,
scene-0,claude-haiku-4-5-20251001,json,blockage,line-intersection,0,false,8200,49,904,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest,nearest,2,true,8174,38,2165,false,,,,
scene-0,claude-haiku-4-5-20251001,json,road_misplacement,mixed,0,false,8214,35,883,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,0,false,8225,38,819,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,2,false,8225,38,813,false,,,,
scene-0,claude-haiku-4-5-20251001,json,enclosure,mixed,0,false,8196,49,874,false,,,,
scene-0,claude-haiku-4-5-20251001,json,enclosure,mixed,2,false,8196,49,901,false,,,,
scene-0,claude-haiku-4-5-20251001,json,enclosure,mixed,1,false,8196,49,962,false,,,,
scene-0,claude-haiku-4-5-20251001,json,road_misplacement,mixed,2,false,8214,35,1058,false,,,,
scene-0,claude-haiku-4-5-20251001,json,road_misplacement,mixed,1,false,8214,35,1087,false,,,,
scene-0,claude-haiku-4-5-20251001,json,topology,path,2,true,8185,45,1231,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,1,false,8225,38,1104,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6760,94,1036,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6764,58,919,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,crossing,crossing,1,false,6764,58,914,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,containment,containment,1,true,6760,94,1090,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6754,38,986,false,,,,
