sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,claude-haiku-4-5-20251001,json,nearest,nearest,1,true,8174,38,1115,false,,,,
scene-0,claude-haiku-4-5-20251001,json,coverage_gap,coverage,2,true,8186,35,1138,false,,,,
scene-0,claude-haiku-4-5-20251001,json,coverage_gap,coverage,0,true,8186,35,1141,false,,,,
scene-0,claude-haiku-4-5-20251001,json,onstreet,on-street,2,false,8194,35,1174,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest,nearest,0,true,8174,38,1211,false,,,,
scene-0,claude-haiku-4-5-20251001,json,containment,containment,2,true,8180,35,1224,false,,,,
scene-0,claude-haiku-4-5-20251001,json,onstreet,on-street,1,false,8194,35,1225,false,,,,
scene-0,claude-haiku-4-5-20251001,json,coverage_gap,coverage,1,true,8186,35,1227,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest,nearest,2,true,8174,38,1228,false,,,,
scene-0,claude-haiku-4-5-20251001,json,crossing,crossing,2,true,8184,35,1234,false,,,,
scene-0,claude-haiku-4-5-20251001,json,crossing,crossing,0,true,8184,35,1264,false,,,,
scene-0,claude-haiku-4-5-20251001,json,onstreet,on-street,0,false,8194,35,1366,false,,,,
scene-0,claude-haiku-4-5-20251001,json,crossing,crossing,1,true,8184,35,1482,false,,,,
scene-0,claude-haiku-4-5-20251001,json,topology,path,0,true,8185,45,1784,false,,,,
scene-0,claude-haiku-4-5-20251001,json,containment,containment,0,true,8180,35,1799,false,,,,
scene-0,claude-haiku-4-5-20251001,json,enclosure,mixed,1,false,8196,54,905,false,,,,
scene-0,claude-haiku-4-5-20251001,json,road_misplacement,mixed,1,false,8214,35,922,false,,,,
scene-0,claude-haiku-4-5-20251001,json,enclosure,mixed,2,false,8196,54,885,false,,,,
scene-0,claude-haiku-4-5-20251001,json,blockage,line-intersection,2,false,8200,49,941,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,0,false,8225,38,800,false,,,,
scene-0,claude-haiku-4-5-20251001,json,topology,path,1,true,8185,45,1110,false,,,,
scene-0,claude-haiku-4-5-20251001,json,road_misplacement,mixed,0,false,8214,35,1004,false,,,,
scene-0,claude-haiku-4-5-20251001,json,enclosure,mixed,0,false,8196,54,1038,false,,,,
scene-0,claude-haiku-4-5-20251001,json,topology,path,2,true,8185,45,1171,false,,,,
scene-0,claude-haiku-4-5-20251001,json,blockage,line-intersection,0,false,8200,49,1282,false,,,,
scene-0,claude-haiku-4-5-20251001,json,road_misplacement,mixed,2,false,8214,35,1240,false,,,,
scene-0,claude-haiku-4-5-20251001,json,blockage,line-intersection,1,false,8200,49,1415,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,2,false,8225,38,859,false,,,,
scene-0,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,1,false,8225,38,1353,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6613,35,1068,false,,,,
scene-0,claude-haiku-4-5-20251001,json,containment,containment,1,true,8180,35,2916,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,1,true,6627,35,750,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,containment,containment,1,true,6613,35,914,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,crossing,crossing,1,false,6617,58,935,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,containment,containment,2,true,6613,35,978,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6627,35,979,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6607,38,1073,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6617,58,1282,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,2,true,6627,35,1206,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,crossing,crossing,2,false,6617,58,1437,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest,nearest,2,true,6607,38,1228,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,1,true,6619,35,1137,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,2,true,6619,35,949,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,true,6619,35,1202,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,topology,path,1,true,6618,45,988,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,topology,path,2,true,6618,45,943,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6633,49,896,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,topology,path,0,true,6618,45,1111,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,false,6647,35,1083,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,2,false,6647,35,929,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,1,false,6647,35,1004,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,1,false,6629,54,934,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6629,54,1130,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,1,false,6658,35,855,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,2,false,6629,54,988,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest,nearest,1,true,6607,38,2293,false,,,,
scene-1,claude-haiku-4-5-20251001,json,containment,containment,1,false,10810,35,854,false,,,,
scene-1,claude-haiku-4-5-20251001,json,containment,containment,0,false,10810,35,878,false,,,,
scene-1,claude-haiku-4-5-20251001,json,containment,containment,2,false,10810,35,834,false,,,,
scene-1,claude-haiku-4-5-20251001,json,crossing,crossing,0,false,10814,35,889,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,1,false,6633,49,1782,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,2,false,6658,35,1155,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,2,false,6633,59,2036,false,,,,
scene-1,claude-haiku-4-5-20251001,json,crossing,crossing,2,false,10814,35,808,false,,,,
scene-1,claude-haiku-4-5-20251001,json,onstreet,on-street,1,false,10824,35,780,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,false,6658,35,1602,false,,,,
scene-1,claude-haiku-4-5-20251001,json,nearest,nearest,0,true,10804,38,778,false,,,,
scene-1,claude-haiku-4-5-20251001,json,onstreet,on-street,2,false,10824,35,825,false,,,,
scene-1,claude-haiku-4-5-20251001,json,nearest,nearest,2,true,10804,38,900,false,,,,
scene-1,claude-haiku-4-5-20251001,json,onstreet,on-street,0,false,10824,35,1263,false,,,,
scene-1,claude-haiku-4-5-20251001,json,coverage_gap,coverage,1,true,10816,35,886,false,,,,
scene-1,claude-haiku-4-5-20251001,json,nearest,nearest,1,true,10804,38,987,false,,,,
scene-1,claude-haiku-4-5-20251001,json,topology,path,1,true,10815,45,892,false,,,,
scene-1,claude-haiku-4-5-20251001,json,topology,path,0,true,10815,45,1067,false,,,,
scene-1,claude-haiku-4-5-20251001,json,coverage_gap,coverage,0,true,10816,35,1169,false,,,,
scene-1,claude-haiku-4-5-20251001,json,topology,path,2,true,10815,45,1079,false,,,,
scene-1,claude-haiku-4-5-20251001,json,blockage,line-intersection,0,false,10830,44,894,false,,,,
scene-1,claude-haiku-4-5-20251001,json,crossing,crossing,1,false,10814,35,1769,false,,,,
scene-1,claude-haiku-4-5-20251001,json,coverage_gap,coverage,2,true,10816,35,1285,false,,,,
scene-1,claude-haiku-4-5-20251001,json,blockage,line-intersection,1,false,10830,44,961,false,,,,
scene-1,claude-haiku-4-5-20251001,json,blockage,line-intersection,2,false,10830,44,864,false,,,,
scene-1,claude-haiku-4-5-20251001,json,road_misplacement,mixed,2,false,10844,35,771,false,,,,
scene-1,claude-haiku-4-5-20251001,json,road_misplacement,mixed,1,false,10844,35,807,false,,,,
scene-1,claude-haiku-4-5-20251001,json,enclosure,mixed,1,false,10826,59,914,false,,,,
scene-1,claude-haiku-4-5-20251001,json,enclosure,mixed,2,false,10826,59,906,false,,,,
scene-1,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,0,false,10855,38,923,false,,,,
scene-1,claude-haiku-4-5-20251001,json,road_misplacement,mixed,0,false,10844,35,1212,false,,,,
scene-1,claude-haiku-4-5-20251001,json,enclosure,mixed,0,false,10826,59,1115,false,,,,
scene-1,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,2,false,10855,38,817,false,,,,
scene-1,claude-haiku-4-5-20251001,json,nearest_offstreet,mixed,1,false,10855,38,1024,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6593,35,768,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,2,true,6593,35,801,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,containment,containment,0,false,6579,69,1137,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,containment,containment,1,false,6579,69,1195,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,crossing,crossing,1,false,6583,66,1153,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6583,66,1172,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,1,true,6593,35,1069,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,crossing,crossing,2,false,6583,66,1175,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,containment,containment,2,false,6579,69,1254,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,nearest,nearest,1,true,6573,38,844,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6573,38,873,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,false,6585,39,1082,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,nearest,nearest,2,true,6573,38,1185,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,topology,path,0,false,6584,111,1188,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,2,false,6599,39,824,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,false,6613,35,820,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,2,false,6585,39,1303,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6599,39,989,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,1,false,6585,39,1466,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,2,false,6613,35,895,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6595,74,955,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,topology,path,1,false,6584,111,1346,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,2,false,6595,74,944,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,1,false,6595,74,976,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,1,false,6613,35,1213,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,true,6624,38,918,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,1,false,6599,39,1377,false,,,,
