sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-1,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,10750,52,1223,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,10808,52,1248,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,10817,52,1351,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,10759,52,1443,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,10703,107,1793,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,10761,117,1899,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,10683,145,2095,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,10836,300,2361,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,10781,188,2435,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,10796,191,2473,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,10738,181,2513,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,10741,165,2534,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,10763,400,2729,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,10792,211,2764,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,10778,190,1541,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,10697,52,1085,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,10758,83,1314,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,false,10767,52,1028,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,10734,217,2271,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,10786,100,1299,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,false,10689,583,3938,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,10723,316,2708,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,10705,430,2901,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,10691,158,1989,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,10746,182,2217,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,10711,110,2653,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,10728,88,2214,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,10713,524,2978,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,10681,117,2705,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,10747,760,6386,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,10661,165,3004,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,10756,100,2592,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,10731,617,4009,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,10737,100,2937,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,10701,119,2823,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,10717,101,1803,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,10764,88,2181,false,,,,
