sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,11306,35,1455,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,11281,35,1468,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,11239,50,1502,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,11285,45,1535,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,11297,35,1573,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,11192,35,1662,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,false,11178,82,1776,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,11252,64,1836,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,11270,40,1868,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,11325,44,1898,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,11250,35,2009,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,11230,38,2011,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,11227,45,2036,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,11236,94,2095,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,11172,38,2225,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,11212,35,995,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,11186,35,928,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,11194,49,1087,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,11267,39,1162,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,11200,35,916,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,11247,39,1112,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,11180,38,1042,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,11223,38,1405,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,11256,64,1134,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,11275,44,1004,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,false,11248,49,3002,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,11202,59,1004,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,11220,40,1086,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,11235,45,1226,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,11231,38,1086,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,11170,35,954,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,false,11156,82,1224,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,11150,38,1016,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,11245,44,1005,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,11226,39,1215,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,11190,40,1030,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,11205,45,1305,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,11201,38,1053,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,11253,50,1074,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,11172,64,1147,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,11206,35,1064,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,11186,38,1029,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,11262,39,1058,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,11241,45,1066,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,11192,52,1331,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,11217,50,1872,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,11281,39,1004,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,11208,64,1075,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,11237,38,960,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,11226,35,1297,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,11342,35,1219,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,11295,35,1133,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,11315,35,1092,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,false,11351,39,1161,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,11275,38,1248,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,11281,100,1515,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,11222,39,1022,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,11326,38,1153,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,11297,69,1382,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,11370,44,1477,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,11155,38,919,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,11161,52,1270,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,false,11231,39,870,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,11210,45,1021,false,,,,
