sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,13449,335,4243,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,13344,346,4924,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,13622,521,4930,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,13721,742,5277,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,13342,392,5403,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,13497,628,5709,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,13503,437,6174,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,13890,762,6750,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,13954,903,6939,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,13946,1039,7106,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,14216,1193,7713,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,14620,1517,8719,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,14136,1149,9063,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,14454,1367,10094,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,13970,1028,10352,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,13422,437,4009,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,13639,701,5784,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,13698,763,6415,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,13653,663,6598,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,14151,1124,7581,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,14521,1378,12469,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,13296,330,6449,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,13586,585,5288,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,14153,1154,8445,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,14029,984,7158,true,3,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,13709,728,8010,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,13328,378,4251,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,13976,1053,9096,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,13854,903,7242,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,13747,922,6160,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,13355,449,6115,false,,,,
