sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-1,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,21071,545,4390,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,21179,537,4405,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,20898,492,5533,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,21060,510,5764,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,21602,1087,7284,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,21650,1019,7342,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,20964,1134,7904,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,21449,1121,8223,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,21520,987,8236,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,21580,1088,8413,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,21625,950,8799,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,21365,1524,9303,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,21426,1239,9936,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,21070,558,10749,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,21073,688,6792,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,21449,1094,11972,false,,"The CABLES section lists only drop cables (from closures to buildings). No trunk cables connecting closures to each other or to CO-1 are defined, so the complete path topology from B-0 back to the CO cannot be determined from the provided representation.",,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,21573,1149,12273,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,20864,445,5890,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,21482,951,7019,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,20949,712,6470,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,21745,1281,10367,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,21569,1381,9253,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,21147,698,8380,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,20971,521,6746,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,21187,956,9038,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,21661,1330,9473,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,21325,1045,9249,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,true,21345,1052,8216,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,20854,502,6552,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,21474,1063,8554,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,21507,1036,7718,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,21038,1285,8926,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,21054,637,6157,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,21256,979,15284,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,20927,537,6538,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,21315,1051,8406,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,20875,435,5586,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,21070,813,6431,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,21110,611,5080,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,21164,941,8751,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,21664,1121,6827,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,21316,973,9952,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,21363,1063,10188,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,21004,539,5596,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,21678,1316,8803,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,21528,1350,12348,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,21403,1088,8288,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,21317,1118,9211,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,21086,354,5716,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,21476,1118,10683,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,21239,1390,10460,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,21614,893,9828,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,21773,1441,11227,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,21311,661,7916,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,21645,1131,10057,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,20948,747,7432,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,21510,937,9598,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,20782,407,6249,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,20950,475,5576,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,22150,1402,10731,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,21117,515,12205,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,22030,1610,13260,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,true,21872,1322,12214,false,,,,
