sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,29499,319,4268,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,29590,502,5407,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,29280,336,5954,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,29546,496,6574,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,29616,569,6585,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,29561,1193,8419,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,29920,999,8650,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,29987,1121,8880,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,29937,1182,8963,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,30285,1323,9044,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,29667,1288,9103,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,30325,1392,10196,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,29547,624,5891,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,29779,911,7496,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,29889,1532,11902,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,30269,1766,12204,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,30100,1447,12581,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,29706,719,6569,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,29803,898,8039,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,29356,399,5958,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,29595,820,7101,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,29507,519,5994,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,29880,864,7158,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,30294,1273,8790,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,30004,1135,8426,false,,,,
