sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,22037,398,4682,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,22076,540,4809,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,21859,452,4879,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,22218,566,5090,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,21861,373,5187,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,22015,411,5637,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,22192,675,5832,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,22517,971,6458,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,22567,1006,6943,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,22460,794,7152,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,22376,787,7421,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,22406,961,7984,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,22538,1036,8098,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,22352,744,8125,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,22619,948,8498,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,22403,929,9522,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,22139,622,5362,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,22154,678,5808,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,22279,801,6333,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,21893,389,5429,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,21961,422,4180,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,22605,1164,7252,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,22084,561,6106,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,22807,1238,8378,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,21835,472,4604,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,false,22517,1056,7655,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,true,22943,1396,9321,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,22338,824,7556,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,22350,861,6740,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,22602,1026,7729,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,22054,566,4344,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,22527,964,8120,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,22488,1007,6777,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,21907,463,6331,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,21875,396,4072,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,22091,644,6475,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,22519,1118,7234,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,21912,441,5442,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,21820,304,4664,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,22121,561,4611,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,22308,874,6753,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,22527,1013,6757,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,22695,1184,8777,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,22578,1075,7910,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,21998,447,4763,false,,,,
