sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-1,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,20953,459,4399,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,20942,332,4404,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,20874,471,5644,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,20932,567,5823,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,20861,415,6156,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,21206,609,6285,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,21345,793,6530,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,21424,949,6641,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,21329,705,6745,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,20979,417,6865,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,21576,1057,7509,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,21754,1271,7806,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,21150,694,8560,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,21707,1108,8680,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,21794,1155,9447,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,21011,536,5244,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,21850,1284,9902,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,20917,436,3818,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,20755,293,4915,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,20906,409,4412,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,21106,672,6103,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,21313,872,7298,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,21537,1032,7394,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,21238,761,6621,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,21505,1050,7213,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,21230,701,7011,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,21360,918,6903,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,21016,695,6204,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,21632,1213,9049,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,21583,1062,7521,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,21023,577,5246,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,21462,1023,8053,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,20822,420,7958,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,20981,544,5604,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,21480,1121,8454,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,21256,782,7633,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,21078,560,4484,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,20814,340,5131,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,21742,1229,16797,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,21259,867,7981,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,20914,405,4525,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,21499,1106,11016,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,21491,1060,7736,false,,,,
