sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,10776,35,1175,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,10718,35,1184,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,false,10727,49,1230,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,10709,38,1242,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,10651,38,1266,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,10749,40,1336,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,10671,35,1358,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,10706,45,1358,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,10760,38,1379,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,10764,45,1394,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,false,10785,39,1402,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,10731,69,1439,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,10715,94,1612,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,10729,35,1655,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,false,10657,82,1665,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,10804,59,1773,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,10746,39,939,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,10702,38,988,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,10673,54,1087,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,10691,35,1320,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,10699,35,1144,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,10665,35,1321,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,10714,45,1222,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,10659,38,1300,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,10726,39,1361,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,10735,64,1325,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,10679,35,1378,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,10710,38,1090,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,10754,44,1352,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,10681,79,1315,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,10696,42,1898,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,10635,88,2043,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,10665,38,1146,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,10671,52,1194,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,10649,35,1893,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,10629,38,1881,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,10705,39,1812,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,10684,45,1868,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,10720,45,1481,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,10680,38,1768,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,10669,40,1906,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,10741,39,1820,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,10685,35,1838,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,10732,42,2007,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,10716,38,836,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,10651,64,2231,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,10760,54,1197,false,,,,
scene-3,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,10724,39,2339,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,10705,35,1279,false,,,,
scene-4,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,10687,79,1675,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,10760,100,1570,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,10774,35,1755,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,10754,38,1794,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,10821,35,2120,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,10640,52,1520,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,10830,35,1942,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,10849,44,1859,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,false,10710,44,1392,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,10776,49,1852,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,false,10794,35,1916,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,10654,35,1721,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,10809,45,2252,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,10634,38,1808,false,,,,
scene-5,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,10805,38,2274,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,10729,39,1416,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,10689,45,1498,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,10674,40,1249,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,false,10701,39,2328,false,,,,
scene-7,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,10649,35,1115,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,10685,38,1523,false,,,,
scene-6,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,10656,59,1616,false,,,,
scene-7,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,10588,46,1736,false,,,,
scene-7,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,10637,45,1573,false,,,,
scene-7,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,10602,35,1709,false,,,,
scene-7,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,10633,38,1117,false,,,,
scene-7,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,10622,40,1431,false,,,,
