sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-1,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,65813,599,8546,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,coverage_gap,coverage,0,true,65526,472,8762,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,65311,913,12188,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,false,65659,963,12345,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,70329,1442,14371,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,66504,1118,14839,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,68386,1742,16089,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,topology,path,0,false,67027,1388,16162,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,blockage,line-intersection,0,false,70275,1781,16546,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,topology,path,0,true,68265,1817,17464,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,enclosure,mixed,0,false,67821,1808,18743,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest,nearest,0,true,68439,1783,19241,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,nearest_offstreet,mixed,0,false,67195,1991,19457,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,crossing,crossing,0,true,70981,2407,22791,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,road_misplacement,mixed,0,true,66041,1340,15169,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,66670,917,10418,false,,,,
scene-1,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,65957,3799,26143,false,,,,
scene-2,anthropic/claude-haiku-4.5,textmap2,onstreet,on-street,0,true,64759,808,10116,false,,,,
scene-0,anthropic/claude-haiku-4.5,textmap2,containment,containment,0,true,66575,4378,26360,false,,,,
