sceneId,model,arm,questionId,category,repeat,correct,inputTokens,outputTokens,latencyMs,hallucinated,hallucinatedIds,missingInfo,scaleM,error
scene-0,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6849,35,1332,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6791,35,1395,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6855,59,1543,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6829,38,1549,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,false,6869,35,1553,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6839,58,1566,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6851,69,1603,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,false,6783,49,1605,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,false,6880,35,1634,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,containment,containment,0,false,6835,88,1677,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,topology,path,0,true,6840,45,1682,false,,,,
scene-0,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,false,6841,39,1690,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,topology,path,0,true,6782,45,1785,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6771,38,1847,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6781,66,1958,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,false,6811,35,1141,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6799,35,946,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,true,6822,38,1031,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,false,6830,38,739,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,topology,path,0,true,6790,45,930,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,false,6819,35,948,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6797,39,1311,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6785,35,1166,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6789,42,1169,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6779,38,1162,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6805,44,1155,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6801,74,1105,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,containment,containment,0,false,6755,82,948,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6793,69,1468,false,,,,
scene-1,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6777,88,3066,false,,,,
scene-2,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,false,6791,59,1722,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6749,38,935,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6759,42,980,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6771,64,940,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,true,6789,40,1032,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6795,50,1043,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6791,52,1136,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6805,35,1028,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,true,6797,39,986,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,true,6761,39,1434,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,false,6800,38,1349,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6769,35,1538,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6785,38,1261,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6811,44,1039,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,true,6825,40,934,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,topology,path,0,true,6760,45,1908,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,topology,path,0,true,6796,45,1490,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,false,6836,38,942,false,,,,
scene-5,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6880,100,1066,false,,,,
scene-4,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6807,79,1303,false,,,,
scene-3,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6775,44,2251,false,,,,
scene-5,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6894,35,990,false,,,,
scene-5,claude-haiku-4-5-20251001,textmap2,nearest,nearest,0,true,6874,38,993,false,,,,
scene-5,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6884,66,1119,false,,,,
scene-5,claude-haiku-4-5-20251001,textmap2,coverage_gap,coverage,0,false,6886,44,1082,false,,,,
scene-5,claude-haiku-4-5-20251001,textmap2,blockage,line-intersection,0,false,6900,49,1049,false,,,,
scene-5,claude-haiku-4-5-20251001,textmap2,topology,path,0,false,6885,106,1114,false,,,,
scene-5,claude-haiku-4-5-20251001,textmap2,enclosure,mixed,0,false,6896,64,971,false,,,,
scene-5,claude-haiku-4-5-20251001,textmap2,nearest_offstreet,mixed,0,true,6925,38,815,false,,,,
scene-6,claude-haiku-4-5-20251001,textmap2,crossing,crossing,0,false,6764,39,812,false,,,,
scene-6,claude-haiku-4-5-20251001,textmap2,onstreet,on-street,0,true,6774,35,775,false,,,,
scene-6,claude-haiku-4-5-20251001,textmap2,containment,containment,0,true,6760,52,893,false,,,,
scene-5,claude-haiku-4-5-20251001,textmap2,road_misplacement,mixed,0,true,6914,40,1440,false,,,,
